Time [h],PeripheralVenousBlood-Analog6-Plasma (Peripheral Venous Blood) [µmol/l],ArterialBlood-Plasma-Analog6-Concentration in container [µmol/l],Brain-Analog6-Tissue [µmol/l],Liver-Analog6-Tissue (Liver) [µmol/l],Brain-Intracellular-Analog6-Concentration in container [µmol/l],Brain-Interstitial-Analog6-Concentration in container [µmol/l],Brain-BloodCells-Analog6-Concentration in container [µmol/l],Brain-Plasma-Analog6-Concentration in container [µmol/l],PeripheralVenousBlood-Analog6-Whole Blood (Peripheral Venous Blood) [µmol/l],ArterialBlood-Analog6-Whole Blood [µmol/l]
0.2666667,0.0007574352,0.0007288568,0.000003841077,0.001179064,0.000002638462,0.0002915666,0.0002052105,0.0007305758,0.0005009095,0.0004824285
0.275,0.0007448476,0.0007161723,0.000003860783,0.001153059,0.000002679972,0.0002863698,0.0002016327,0.0007178208,0.0004925734,0.0004740359
0.2833333,0.0007327608,0.0007039618,0.000003880572,0.001128114,0.000002720747,0.0002813686,0.0001981889,0.0007055431,0.0004845683,0.000465957
0.2916667,0.0007211457,0.0006922046,0.000003900436,0.00110418,0.000002760815,0.0002765548,0.000194873,0.0006937216,0.0004768748,0.000458178
0.3,0.0007099754,0.0006808802,0.000003920367,0.00108121,0.000002800202,0.00027192,0.0001916795,0.000682336,0.0004694755,0.0004506854
0.3083333,0.0006992251,0.000669969,0.000003940358,0.001059157,0.000002838933,0.0002674561,0.0001886026,0.0006713665,0.000462354,0.0004434662
0.3166667,0.0006888733,0.0006594521,0.000003960397,0.001037977,0.000002877033,0.0002631552,0.0001856371,0.000660794,0.0004554963,0.0004365079
0.325,0.0006788972,0.000649312,0.00000398048,0.00101763,0.000002914525,0.0002590102,0.0001827779,0.0006506009,0.0004488873,0.0004297989
0.3333333,0.0006692791,0.0006395314,0.000004000597,0.0009980758,0.00000295143,0.0002550137,0.0001800203,0.0006407697,0.0004425153,0.0004233277
0.3416667,0.0006600012,0.0006300941,0.000004020741,0.000979276,0.00000298777,0.0002511591,0.0001773596,0.000631284,0.0004363685,0.0004170836
0.35,0.0006510451,0.0006209848,0.000004040906,0.0009611967,0.000003023564,0.0002474401,0.0001747915,0.0006221286,0.0004304349,0.0004110565
0.3583333,0.000642397,0.0006121889,0.000004061085,0.0009438038,0.000003058831,0.0002438505,0.0001723118,0.0006132887,0.0004247053,0.0004052368
0.3666667,0.00063404,0.0006036925,0.000004081273,0.0009270655,0.000003093589,0.0002403847,0.0001699167,0.0006047502,0.0004191687,0.0003996152
